ID	Gene	chr	start	end	strand	band	type	sample	nProbesCr	nProbesAf	logR	baf	nAraw	nBraw	nMajor	nMinor	purifiedLogR	purifiedBaf	purifiedLoh	CNstatus	LOHstatus	minPurifiedLogR	maxPurifiedLogR	breaksInGene
ENSG00000105397	TYK2	chr19	10350529	10380676	-1	p13.2	protein_coding	patient1	3336	1901	-0.2788	0.2659	2.4948	0.1244	2.0	0.0	-0.4978	0.0475	0.905	Normal	LOH	-0.4978	-0.4978	0
ENSG00000115524	SF3B1	chr2	197388515	197435091	-1	q33.1	protein_coding	patient1	132190	74489	0.011	0.3783	2.626	1.1194	3.0	1.0	0.0182	0.2989	0.4022	Normal	HET	0.0182	0.0182	0
ENSG00000171456	ASXL1	chr20	32358330	32439319	1	q11.21	protein_coding	patient1	20330	10605	0.6771	0.3704	4.9615	2.4161	5.0	2.0	0.9962	0.3275	0.345	Normal	HET	0.9962	0.9962	0
ENSG00000100393	EP300	chr22	41092592	41180077	1	q13.2	protein_coding	patient1	28848	18738	-0.0943	0.2285	3.2171	0.0926	3.0	0.0	-0.1602	0.028	0.944	Normal	LOH	-0.1602	-0.1602	0
ENSG00000172175	MALT1	chr18	58671386	58754477	1	q21.32	protein_coding	patient1	20924	14767	-0.1399	0.4018	2.1127	1.0181	2.0	1.0	-0.2404	0.3252	0.3496	Normal	HET	-0.2404	-0.2404	0
ENSG00000071564	TCF3	chr19	1609284	1652615	-1	p13.3	protein_coding	patient1	7508	5939	0.0103	0.2165	3.6257	0.117	4.0	0.0	0.0171	0.0313	0.9375	Normal	LOH	0.0171	0.0171	0
ENSG00000135679	MDM2	chr12	68808177	68850686	1	q15	protein_coding	patient1	9019	4696	-0.0615	0.4084	2.2603	1.1818	2.0	1.0	-0.1037	0.3433	0.3133	Normal	HET	-0.1037	-0.1037	0
ENSG00000157764	BRAF	chr7	140719327	140924928	-1	q34	protein_coding	patient1	51401	31177	0.1588	0.4974	2.2247	2.1884	2.0	2.0	0.2548	0.4959	0.0082	Normal	HET	0.2548	0.2548	0
ENSG00000197646	PDCD1LG2	chr9	5510570	5571254	1	p24.1	protein_coding	patient1	83666	52817	-0.381	0.274	2.2026	0.0703	2.0	0.0	-0.7024	0.0309	0.9381	Normal	LOH	-0.7024	-0.7024	0
ENSG00000204103	MAFB	chr20	40685848	40689236	-1	q12	protein_coding	patient1	20330	10605	0.6771	0.3704	4.9615	2.4161	5.0	2.0	0.9962	0.3275	0.345	Normal	HET	0.9962	0.9962	0
ENSG00000187266	EPOR	chr19	11377207	11384342	-1	p13.2	protein_coding	patient1	3336	1901	-0.2788	0.2659	2.4948	0.1244	2.0	0.0	-0.4978	0.0475	0.905	Normal	LOH	-0.4978	-0.4978	0
ENSG00000152217	SETBP1	chr18	44680173	45068510	1	q12.3	protein_coding	patient1	9625	6246	-0.0581	0.3848	2.4077	1.0484	2.0	1.0	-0.0978	0.3033	0.3933	Normal	HET	-0.0978	-0.0978	0
